vendor	page	bytes	constraints	relevance	disposition
claude	changelog	504883	254	1543	PENDING-DEPTH
claude	errors	145406	87	530	PENDING-DEPTH
claude	sub-agents	91156	63	498	PENDING-DEPTH
claude	agent-view	152697	59	369	PENDING-DEPTH
claude	settings	269942	50	441	PENDING-DEPTH
claude	hooks	238168	48	523	PENDING-DEPTH
claude	mcp	76292	34	195	PENDING-DEPTH
claude	agent-sdk__typescript	218754	32	301	PENDING-DEPTH
claude	env-vars	332866	32	253	PENDING-DEPTH
issues	trackers	15082	32	143	PENDING-DEPTH
claude	tools-reference	87596	30	153	PENDING-DEPTH
claude	sandboxing	48278	38	269	PENDING-DEPTH
claude	permission-modes	50034	26	146	PENDING-DEPTH
agy	changelog	84763	24	286	PENDING-DEPTH
claude	permissions	60703	32	249	PENDING-DEPTH
agy	github-CHANGELOG	45333	21	170	PENDING-DEPTH
claude	agent-sdk__python	190857	18	272	PENDING-DEPTH
claude	agent-teams	33183	19	220	PENDING-DEPTH
claude	remote-control	39947	19	98	PENDING-DEPTH
claude	hooks-guide	60826	17	178	PENDING-DEPTH
claude	claude-apps-gateway	53414	16	110	PENDING-DEPTH
claude	cli-reference	104140	18	134	PENDING-DEPTH
claude	model-config	82832	15	160	PENDING-DEPTH
claude	claude-code-on-the-web	65865	14	96	PENDING-DEPTH
claude	llm-gateway-connect	48714	17	176	PENDING-DEPTH
claude	claude-apps-gateway-deploy	52891	13	69	PENDING-DEPTH
claude	agent-sdk__permissions	20718	23	101	PENDING-DEPTH
claude	workflows	29401	12	126	PENDING-DEPTH
claude	debug-your-config	21229	13	51	PENDING-DEPTH
claude	commands	185362	11	122	PENDING-DEPTH
claude	auto-mode-config	27671	16	97	PENDING-DEPTH
claude	server-managed-settings	26203	13	102	PENDING-DEPTH
claude	authentication	17591	15	119	PENDING-DEPTH
claude	code-review	28566	10	57	PENDING-DEPTH
claude	agent-sdk__subagents	38716	11	144	PENDING-DEPTH
claude	troubleshoot-install	54281	12	84	PENDING-DEPTH
claude	claude-apps-gateway-config	79360	10	102	PENDING-DEPTH
claude	interactive-mode	55768	8	59	PENDING-DEPTH
claude	channels	23958	9	48	PENDING-DEPTH
claude	fast-mode	14834	8	50	PENDING-DEPTH
claude	plugin-marketplaces	72460	9	67	PENDING-DEPTH
mcp	seps__1686-tasks	64990	8	85	PENDING-DEPTH
mcp	seps__2567-sessionless-mcp	36290	9	48	PENDING-DEPTH
claude	monitoring-usage	128622	7	173	PENDING-DEPTH
